date,department_id,equipment_type,total_units,units_in_use,utilization_pct
2020-01-01,22,Ventilator,3,2,66.67
2020-01-01,22,Ultrasound,2,1,50.0
2020-01-01,22,ECG,2,2,100.0
2020-01-01,23,MRI,9,8,88.89
2020-01-01,23,CT Scanner,3,2,66.67
2020-01-01,23,X-Ray,5,5,100.0
2020-01-01,23,Ventilator,5,4,80.0
2020-01-01,23,Ultrasound,7,3,42.86
2020-01-01,23,ECG,9,3,33.33
2020-01-01,24,MRI,10,4,40.0
2020-01-01,24,CT Scanner,1,1,100.0
2020-01-01,24,X-Ray,4,3,75.0
2020-01-01,24,Ventilator,2,1,50.0
2020-01-01,24,Ultrasound,10,8,80.0
2020-01-01,24,ECG,8,0,0.0
2020-01-01,25,MRI,8,7,87.5
2020-01-01,25,CT Scanner,8,7,87.5
2020-01-01,25,X-Ray,2,0,0.0
2020-01-01,25,Ventilator,7,4,57.14
2020-01-01,25,Ultrasound,7,6,85.71
2020-01-01,25,ECG,2,0,0.0
2020-01-01,26,MRI,6,3,50.0
2020-01-01,26,CT Scanner,8,2,25.0
2020-01-01,26,X-Ray,7,1,14.29
2020-01-01,26,Ventilator,10,0,0.0
2020-01-01,26,Ultrasound,8,3,37.5
2020-01-01,26,ECG,6,5,83.33
2020-01-01,27,MRI,4,3,75.0
2020-01-01,27,CT Scanner,2,0,0.0
2020-01-01,27,X-Ray,9,5,55.56
2020-01-01,27,Ventilator,8,4,50.0
2020-01-01,27,Ultrasound,10,10,100.0
2020-01-01,27,ECG,8,5,62.5
2020-01-01,28,MRI,3,0,0.0
2020-01-01,28,CT Scanner,8,1,12.5
2020-01-01,28,X-Ray,1,1,100.0
2020-01-01,28,Ventilator,7,1,14.29
2020-01-01,28,Ultrasound,9,8,88.89
2020-01-01,28,ECG,10,9,90.0
2020-01-01,29,MRI,7,0,0.0
2020-01-01,29,CT Scanner,8,4,50.0
2020-01-01,29,X-Ray,1,1,100.0
2020-01-01,29,Ventilator,2,2,100.0
2020-01-01,29,Ultrasound,4,2,50.0
2020-01-01,29,ECG,6,3,50.0
2020-01-01,30,MRI,5,4,80.0
2020-01-01,30,CT Scanner,5,2,40.0
2020-01-01,30,X-Ray,5,1,20.0
2020-01-01,30,Ventilator,3,1,33.33
2020-01-01,30,Ultrasound,1,0,0.0
2020-01-01,30,ECG,5,2,40.0
2020-01-01,31,MRI,5,3,60.0
2020-01-01,31,CT Scanner,3,3,100.0
2020-01-01,31,X-Ray,3,3,100.0
2020-01-01,31,Ventilator,8,4,50.0
2020-01-01,31,Ultrasound,6,3,50.0
2020-01-01,31,ECG,5,2,40.0
2020-01-01,32,MRI,10,6,60.0
2020-01-01,32,CT Scanner,8,3,37.5
2020-01-01,32,X-Ray,7,2,28.57
2020-01-01,32,Ventilator,5,2,40.0
2020-01-01,32,Ultrasound,1,0,0.0
2020-01-01,32,ECG,10,2,20.0
2020-01-01,33,MRI,3,1,33.33
2020-01-01,33,CT Scanner,4,2,50.0
2020-01-01,33,X-Ray,8,4,50.0
2020-01-01,33,Ventilator,4,4,100.0
2020-01-01,33,Ultrasound,1,0,0.0
2020-01-01,33,ECG,2,2,100.0
2020-01-01,34,MRI,2,0,0.0
2020-01-01,34,CT Scanner,1,0,0.0
2020-01-01,34,X-Ray,7,2,28.57
2020-01-01,34,Ventilator,6,6,100.0
2020-01-01,34,Ultrasound,7,4,57.14
2020-01-01,34,ECG,1,1,100.0
2020-01-01,35,MRI,9,1,11.11
2020-01-01,35,CT Scanner,9,7,77.78
2020-01-01,35,X-Ray,9,7,77.78
2020-01-01,35,Ventilator,5,1,20.0
2020-01-01,35,Ultrasound,6,5,83.33
2020-01-01,35,ECG,4,2,50.0
2020-01-01,36,MRI,3,0,0.0
2020-01-01,36,CT Scanner,2,1,50.0
2020-01-01,36,X-Ray,5,2,40.0
2020-01-01,36,Ventilator,3,1,33.33
2020-01-01,36,Ultrasound,9,0,0.0
2020-01-01,36,ECG,9,6,66.67
2020-01-01,37,MRI,2,2,100.0
2020-01-01,37,CT Scanner,9,9,100.0
2020-01-01,37,X-Ray,3,1,33.33
2020-01-01,37,Ventilator,6,0,0.0
2020-01-01,37,Ultrasound,5,0,0.0
2020-01-01,37,ECG,1,0,0.0
2020-01-01,38,MRI,8,2,25.0
2020-01-01,38,CT Scanner,9,2,22.22
2020-01-01,38,X-Ray,9,1,11.11
2020-01-01,38,Ventilator,9,9,100.0
2020-01-01,38,Ultrasound,4,2,50.0
2020-01-01,38,ECG,8,6,75.0
2020-01-01,39,MRI,1,0,0.0
2020-01-01,39,CT Scanner,5,5,100.0
2020-01-01,39,X-Ray,5,2,40.0
2020-01-01,39,Ventilator,7,5,71.43
2020-01-01,39,Ultrasound,9,8,88.89
2020-01-01,39,ECG,9,4,44.44
2020-01-01,40,MRI,6,3,50.0
2020-01-01,40,CT Scanner,3,1,33.33
2020-01-01,40,X-Ray,9,4,44.44
2020-01-01,40,Ventilator,5,0,0.0
2020-01-01,40,Ultrasound,6,6,100.0
2020-01-01,40,ECG,7,5,71.43
2020-01-01,41,MRI,8,6,75.0
2020-01-01,41,CT Scanner,4,4,100.0
2020-01-01,41,X-Ray,5,2,40.0
2020-01-01,41,Ventilator,2,0,0.0
2020-01-01,41,Ultrasound,7,4,57.14
2020-01-01,41,ECG,7,3,42.86
2020-01-01,42,MRI,9,8,88.89
2020-01-01,42,CT Scanner,7,5,71.43
2020-01-01,42,X-Ray,5,0,0.0
2020-01-01,42,Ventilator,9,0,0.0
2020-01-01,42,Ultrasound,6,0,0.0
2020-01-01,42,ECG,6,0,0.0
2020-01-01,43,MRI,1,0,0.0
2020-01-01,43,CT Scanner,4,1,25.0
2020-01-01,43,X-Ray,9,1,11.11
2020-01-01,43,Ventilator,2,0,0.0
2020-01-01,43,Ultrasound,9,3,33.33
2020-01-01,43,ECG,9,6,66.67
2020-01-01,44,MRI,2,0,0.0
2020-01-01,44,CT Scanner,3,3,100.0
2020-01-01,44,X-Ray,9,9,100.0
2020-01-01,44,Ventilator,3,3,100.0
2020-01-01,44,Ultrasound,10,10,100.0
2020-01-01,44,ECG,4,0,0.0
2020-01-01,45,MRI,4,1,25.0
2020-01-01,45,CT Scanner,4,2,50.0
2020-01-01,45,X-Ray,10,1,10.0
2020-01-01,45,Ventilator,3,3,100.0
2020-01-01,45,Ultrasound,9,1,11.11
2020-01-01,45,ECG,2,0,0.0
2020-01-01,46,MRI,8,6,75.0
2020-01-01,46,CT Scanner,4,3,75.0
2020-01-01,46,X-Ray,10,0,0.0
2020-01-01,46,Ventilator,10,7,70.0
2020-01-01,46,Ultrasound,5,4,80.0
2020-01-01,46,ECG,7,2,28.57
2020-01-01,47,MRI,5,2,40.0
2020-01-01,47,CT Scanner,5,3,60.0
2020-01-01,47,X-Ray,4,3,75.0
2020-01-01,47,Ventilator,7,7,100.0
2020-01-01,47,Ultrasound,1,0,0.0
2020-01-01,47,ECG,10,2,20.0
2020-01-01,48,MRI,5,4,80.0
2020-01-01,48,CT Scanner,9,7,77.78
2020-01-01,48,X-Ray,5,2,40.0
2020-01-01,48,Ventilator,9,9,100.0
2020-01-01,48,Ultrasound,7,5,71.43
2020-01-01,48,ECG,10,1,10.0
2020-01-01,49,MRI,10,10,100.0
2020-01-01,49,CT Scanner,8,0,0.0
2020-01-01,49,X-Ray,9,5,55.56
2020-01-01,49,Ventilator,9,5,55.56
2020-01-01,49,Ultrasound,8,5,62.5
2020-01-01,49,ECG,5,5,100.0
2020-01-01,50,MRI,5,2,40.0
2020-01-01,50,CT Scanner,3,1,33.33
2020-01-01,50,X-Ray,7,2,28.57
2020-01-01,50,Ventilator,7,4,57.14
2020-01-01,50,Ultrasound,10,1,10.0
2020-01-01,50,ECG,6,5,83.33
2020-01-02,1,MRI,8,0,0.0
2020-01-02,1,CT Scanner,9,0,0.0
2020-01-02,1,X-Ray,10,7,70.0
2020-01-02,1,Ventilator,3,1,33.33
2020-01-02,1,Ultrasound,3,0,0.0
2020-01-02,1,ECG,1,0,0.0
2020-01-02,2,MRI,9,2,22.22
2020-01-02,2,CT Scanner,7,4,57.14
2020-01-02,2,X-Ray,1,1,100.0
2020-01-02,2,Ventilator,2,0,0.0
2020-01-02,2,Ultrasound,4,2,50.0
2020-01-02,2,ECG,6,1,16.67
2020-01-02,3,MRI,7,3,42.86
2020-01-02,3,CT Scanner,2,1,50.0
2020-01-02,3,X-Ray,8,3,37.5
2020-01-02,3,Ventilator,6,3,50.0
2020-01-02,3,Ultrasound,8,1,12.5
2020-01-02,3,ECG,7,5,71.43
2020-01-02,4,MRI,8,1,12.5
2020-01-02,4,CT Scanner,6,3,50.0
2020-01-02,4,X-Ray,1,1,100.0
2020-01-02,4,Ventilator,1,0,0.0
2020-01-02,4,Ultrasound,9,1,11.11
2020-01-02,4,ECG,5,5,100.0
2020-01-02,5,MRI,4,1,25.0
2020-01-02,5,CT Scanner,4,3,75.0
2020-01-02,5,X-Ray,2,0,0.0
2020-01-02,5,Ventilator,1,0,0.0
2020-01-02,5,Ultrasound,7,7,100.0
2020-01-02,5,ECG,1,0,0.0
2020-01-02,6,MRI,7,5,71.43
2020-01-02,6,CT Scanner,9,9,100.0
2020-01-02,6,X-Ray,6,5,83.33
2020-01-02,6,Ventilator,8,1,12.5
2020-01-02,6,Ultrasound,3,3,100.0
2020-01-02,6,ECG,8,3,37.5
2020-01-02,7,MRI,9,0,0.0
2020-01-02,7,CT Scanner,6,4,66.67
2020-01-02,7,X-Ray,6,4,66.67
2020-01-02,7,Ventilator,9,8,88.89
2020-01-02,7,Ultrasound,1,1,100.0
2020-01-02,7,ECG,3,2,66.67
2020-01-02,8,MRI,5,0,0.0
2020-01-02,8,CT Scanner,5,2,40.0
2020-01-02,8,X-Ray,2,2,100.0
2020-01-02,8,Ventilator,2,1,50.0
2020-01-02,8,Ultrasound,1,1,100.0
2020-01-02,8,ECG,8,8,100.0
2020-01-02,9,MRI,8,4,50.0
2020-01-02,9,CT Scanner,4,3,75.0
2020-01-02,9,X-Ray,5,1,20.0
2020-01-02,9,Ventilator,1,1,100.0
2020-01-02,9,Ultrasound,10,9,90.0
2020-01-02,9,ECG,4,1,25.0
2020-01-02,10,MRI,1,1,100.0
2020-01-02,10,CT Scanner,2,1,50.0
2020-01-02,10,X-Ray,7,0,0.0
2020-01-02,10,Ventilator,2,2,100.0
2020-01-02,10,Ultrasound,10,0,0.0
2020-01-02,10,ECG,10,3,30.0
2020-01-02,11,MRI,3,0,0.0
2020-01-02,11,CT Scanner,4,3,75.0
2020-01-02,11,X-Ray,5,4,80.0
2020-01-02,11,Ventilator,1,1,100.0
2020-01-02,11,Ultrasound,9,7,77.78
2020-01-02,11,ECG,4,2,50.0
2020-01-02,12,MRI,1,1,100.0
2020-01-02,12,CT Scanner,8,0,0.0
2020-01-02,12,X-Ray,1,1,100.0
2020-01-02,12,Ventilator,9,7,77.78
2020-01-02,12,Ultrasound,1,1,100.0
2020-01-02,12,ECG,4,4,100.0
2020-01-02,13,MRI,3,0,0.0
2020-01-02,13,CT Scanner,6,3,50.0
2020-01-02,13,X-Ray,8,5,62.5
2020-01-02,13,Ventilator,2,1,50.0
2020-01-02,13,Ultrasound,1,1,100.0
2020-01-02,13,ECG,8,0,0.0
2020-01-02,14,MRI,3,2,66.67
2020-01-02,14,CT Scanner,2,1,50.0
2020-01-02,14,X-Ray,6,1,16.67
2020-01-02,14,Ventilator,10,3,30.0
2020-01-02,14,Ultrasound,10,8,80.0
2020-01-02,14,ECG,7,4,57.14
2020-01-02,15,MRI,1,1,100.0
2020-01-02,15,CT Scanner,8,5,62.5
2020-01-02,15,X-Ray,10,6,60.0
2020-01-02,15,Ventilator,5,2,40.0
2020-01-02,15,Ultrasound,10,8,80.0
2020-01-02,15,ECG,1,0,0.0
2020-01-02,16,MRI,5,1,20.0
2020-01-02,16,CT Scanner,2,1,50.0
2020-01-02,16,X-Ray,6,5,83.33
2020-01-02,16,Ventilator,10,7,70.0
2020-01-02,16,Ultrasound,7,7,100.0
2020-01-02,16,ECG,8,6,75.0
2020-01-02,17,MRI,8,6,75.0
2020-01-02,17,CT Scanner,5,3,60.0
2020-01-02,17,X-Ray,3,1,33.33
2020-01-02,17,Ventilator,8,2,25.0
2020-01-02,17,Ultrasound,9,0,0.0
2020-01-02,17,ECG,5,0,0.0
2020-01-02,18,MRI,3,3,100.0
2020-01-02,18,CT Scanner,4,4,100.0
2020-01-02,18,X-Ray,6,5,83.33
2020-01-02,18,Ventilator,10,1,10.0
2020-01-02,18,Ultrasound,2,1,50.0
2020-01-02,18,ECG,8,0,0.0
2020-01-02,19,MRI,8,0,0.0
2020-01-02,19,CT Scanner,9,6,66.67
2020-01-02,19,X-Ray,2,0,0.0
2020-01-02,19,Ventilator,1,1,100.0
2020-01-02,19,Ultrasound,10,0,0.0
2020-01-02,19,ECG,1,0,0.0
2020-01-02,20,MRI,2,2,100.0
2020-01-02,20,CT Scanner,10,10,100.0
2020-01-02,20,X-Ray,10,9,90.0
2020-01-02,20,Ventilator,6,3,50.0
2020-01-02,20,Ultrasound,10,6,60.0
2020-01-02,20,ECG,3,3,100.0
2020-01-02,21,MRI,7,5,71.43
2020-01-02,21,CT Scanner,6,1,16.67
2020-01-02,21,X-Ray,4,4,100.0
2020-01-02,21,Ventilator,8,8,100.0
2020-01-02,21,Ultrasound,1,0,0.0
2020-01-02,21,ECG,3,1,33.33
2020-01-02,22,MRI,4,3,75.0
2020-01-02,22,CT Scanner,1,0,0.0
2020-01-02,22,X-Ray,9,3,33.33
2020-01-02,22,Ventilator,9,6,66.67
2020-01-02,22,Ultrasound,7,1,14.29
2020-01-02,22,ECG,7,3,42.86
2020-01-02,23,MRI,9,9,100.0
2020-01-02,23,CT Scanner,8,0,0.0
2020-01-02,23,X-Ray,8,3,37.5
2020-01-02,23,Ventilator,5,5,100.0
2020-01-02,23,Ultrasound,9,1,11.11
2020-01-02,23,ECG,2,2,100.0
2020-01-02,24,MRI,3,1,33.33
2020-01-02,24,CT Scanner,9,9,100.0
2020-01-02,24,X-Ray,1,1,100.0
2020-01-02,24,Ventilator,3,3,100.0
2020-01-02,24,Ultrasound,5,0,0.0
2020-01-02,24,ECG,2,0,0.0
2020-01-02,25,MRI,1,0,0.0
2020-01-02,25,CT Scanner,8,3,37.5
2020-01-02,25,X-Ray,9,6,66.67
2020-01-02,25,Ventilator,9,1,11.11
2020-01-02,25,Ultrasound,7,3,42.86
2020-01-02,25,ECG,10,0,0.0
2020-01-02,26,MRI,2,1,50.0
2020-01-02,26,CT Scanner,3,2,66.67
2020-01-02,26,X-Ray,10,3,30.0
2020-01-02,26,Ventilator,10,4,40.0
2020-01-02,26,Ultrasound,6,0,0.0
2020-01-02,26,ECG,10,1,10.0
2020-01-02,27,MRI,7,0,0.0
2020-01-02,27,CT Scanner,8,1,12.5
2020-01-02,27,X-Ray,9,6,66.67
2020-01-02,27,Ventilator,6,1,16.67
2020-01-02,27,Ultrasound,1,1,100.0
2020-01-02,27,ECG,5,0,0.0
2020-01-02,28,MRI,1,1,100.0
2020-01-02,28,CT Scanner,9,1,11.11
2020-01-02,28,X-Ray,1,0,0.0
2020-01-02,28,Ventilator,9,5,55.56
2020-01-02,28,Ultrasound,7,1,14.29
2020-01-02,28,ECG,10,0,0.0
2020-01-02,29,MRI,7,1,14.29
2020-01-02,29,CT Scanner,10,7,70.0
2020-01-02,29,X-Ray,1,1,100.0
2020-01-02,29,Ventilator,6,2,33.33
2020-01-02,29,Ultrasound,3,0,0.0
2020-01-02,29,ECG,10,5,50.0
2020-01-02,30,MRI,3,2,66.67
2020-01-02,30,CT Scanner,1,0,0.0
2020-01-02,30,X-Ray,8,6,75.0
2020-01-02,30,Ventilator,9,3,33.33
2020-01-02,30,Ultrasound,1,0,0.0
2020-01-02,30,ECG,10,10,100.0
2020-01-02,31,MRI,1,1,100.0
2020-01-02,31,CT Scanner,10,0,0.0
2020-01-02,31,X-Ray,7,1,14.29
2020-01-02,31,Ventilator,3,2,66.67
2020-01-02,31,Ultrasound,6,1,16.67
2020-01-02,31,ECG,6,1,16.67
2020-01-02,32,MRI,1,0,0.0
2020-01-02,32,CT Scanner,7,5,71.43
2020-01-02,32,X-Ray,9,0,0.0
2020-01-02,32,Ventilator,4,0,0.0
2020-01-02,32,Ultrasound,2,0,0.0
2020-01-02,32,ECG,10,6,60.0
2020-01-02,33,MRI,1,1,100.0
2020-01-02,33,CT Scanner,3,1,33.33
2020-01-02,33,X-Ray,9,4,44.44
2020-01-02,33,Ventilator,9,5,55.56
2020-01-02,33,Ultrasound,2,0,0.0
2020-01-02,33,ECG,4,1,25.0
2020-01-02,34,MRI,7,4,57.14
2020-01-02,34,CT Scanner,4,4,100.0
2020-01-02,34,X-Ray,4,3,75.0
2020-01-02,34,Ventilator,2,1,50.0
2020-01-02,34,Ultrasound,4,1,25.0
2020-01-02,34,ECG,5,5,100.0
2020-01-02,35,MRI,4,0,0.0
2020-01-02,35,CT Scanner,7,6,85.71
2020-01-02,35,X-Ray,8,7,87.5
2020-01-02,35,Ventilator,7,1,14.29
2020-01-02,35,Ultrasound,2,1,50.0
2020-01-02,35,ECG,7,4,57.14
2020-01-02,36,MRI,2,0,0.0
2020-01-02,36,CT Scanner,8,3,37.5
2020-01-02,36,X-Ray,7,2,28.57
2020-01-02,36,Ventilator,6,3,50.0
2020-01-02,36,Ultrasound,10,0,0.0
2020-01-02,36,ECG,2,2,100.0
2020-01-02,37,MRI,6,2,33.33
2020-01-02,37,CT Scanner,9,2,22.22
2020-01-02,37,X-Ray,4,4,100.0
2020-01-02,37,Ventilator,10,1,10.0
2020-01-02,37,Ultrasound,2,0,0.0
2020-01-02,37,ECG,5,0,0.0
2020-01-02,38,MRI,7,2,28.57
2020-01-02,38,CT Scanner,1,1,100.0
2020-01-02,38,X-Ray,10,7,70.0
2020-01-02,38,Ventilator,5,0,0.0
2020-01-02,38,Ultrasound,8,0,0.0
2020-01-02,38,ECG,1,0,0.0
2020-01-02,39,MRI,2,0,0.0
2020-01-02,39,CT Scanner,2,0,0.0
2020-01-02,39,X-Ray,1,1,100.0
2020-01-02,39,Ventilator,10,0,0.0
2020-01-02,39,Ultrasound,3,3,100.0
2020-01-02,39,ECG,8,8,100.0
2020-01-02,40,MRI,7,4,57.14
2020-01-02,40,CT Scanner,6,1,16.67
2020-01-02,40,X-Ray,8,6,75.0
2020-01-02,40,Ventilator,3,3,100.0
2020-01-02,40,Ultrasound,4,0,0.0
2020-01-02,40,ECG,1,1,100.0
2020-01-02,41,MRI,3,2,66.67
2020-01-02,41,CT Scanner,2,0,0.0
2020-01-02,41,X-Ray,5,1,20.0
2020-01-02,41,Ventilator,4,0,0.0
2020-01-02,41,Ultrasound,8,5,62.5
2020-01-02,41,ECG,3,3,100.0
2020-01-02,42,MRI,4,2,50.0
2020-01-02,42,CT Scanner,1,1,100.0
2020-01-02,42,X-Ray,8,8,100.0
2020-01-02,42,Ventilator,2,0,0.0
2020-01-02,42,Ultrasound,4,4,100.0
2020-01-02,42,ECG,9,6,66.67
2020-01-02,43,MRI,7,5,71.43
2020-01-02,43,CT Scanner,5,4,80.0
2020-01-02,43,X-Ray,2,2,100.0
2020-01-02,43,Ventilator,10,3,30.0
2020-01-02,43,Ultrasound,3,3,100.0
2020-01-02,43,ECG,7,3,42.86
2020-01-02,44,MRI,7,3,42.86
2020-01-02,44,CT Scanner,3,2,66.67
2020-01-02,44,X-Ray,6,4,66.67
2020-01-02,44,Ventilator,4,4,100.0
2020-01-02,44,Ultrasound,8,2,25.0
2020-01-02,44,ECG,9,6,66.67
2020-01-02,45,MRI,1,1,100.0
2020-01-02,45,CT Scanner,8,5,62.5
2020-01-02,45,X-Ray,7,5,71.43
2020-01-02,45,Ventilator,5,0,0.0
2020-01-02,45,Ultrasound,1,0,0.0
2020-01-02,45,ECG,6,2,33.33
2020-01-02,46,MRI,6,5,83.33
2020-01-02,46,CT Scanner,8,4,50.0
2020-01-02,46,X-Ray,5,2,40.0
2020-01-02,46,Ventilator,5,5,100.0
2020-01-02,46,Ultrasound,3,0,0.0
2020-01-02,46,ECG,9,5,55.56
2020-01-02,47,MRI,7,0,0.0
2020-01-02,47,CT Scanner,3,2,66.67
2020-01-02,47,X-Ray,4,1,25.0
2020-01-02,47,Ventilator,4,4,100.0
2020-01-02,47,Ultrasound,1,0,0.0
2020-01-02,47,ECG,9,4,44.44
2020-01-02,48,MRI,3,3,100.0
2020-01-02,48,CT Scanner,8,5,62.5
2020-01-02,48,X-Ray,5,0,0.0
2020-01-02,48,Ventilator,4,2,50.0
2020-01-02,48,Ultrasound,2,1,50.0
2020-01-02,48,ECG,9,4,44.44
2020-01-02,49,MRI,5,2,40.0
2020-01-02,49,CT Scanner,2,1,50.0
2020-01-02,49,X-Ray,4,0,0.0
2020-01-02,49,Ventilator,1,0,0.0
2020-01-02,49,Ultrasound,1,0,0.0
2020-01-02,49,ECG,6,6,100.0
2020-01-02,50,MRI,7,6,85.71
2020-01-02,50,CT Scanner,2,2,100.0
2020-01-02,50,X-Ray,9,1,11.11
2020-01-02,50,Ventilator,8,3,37.5
2020-01-02,50,Ultrasound,8,5,62.5
2020-01-02,50,ECG,2,0,0.0
2020-01-03,1,MRI,5,1,20.0
2020-01-03,1,CT Scanner,10,1,10.0
2020-01-03,1,X-Ray,10,0,0.0
2020-01-03,1,Ventilator,2,0,0.0
2020-01-03,1,Ultrasound,7,2,28.57
2020-01-03,1,ECG,6,5,83.33
2020-01-03,2,MRI,3,1,33.33
2020-01-03,2,CT Scanner,8,0,0.0
2020-01-03,2,X-Ray,4,3,75.0
2020-01-03,2,Ventilator,8,1,12.5
2020-01-03,2,Ultrasound,8,4,50.0
2020-01-03,2,ECG,10,4,40.0
2020-01-03,3,MRI,2,2,100.0
2020-01-03,3,CT Scanner,8,5,62.5
2020-01-03,3,X-Ray,3,3,100.0
